n_samp,kappa,d_effect,method,mean_bias,emp_sd,mean_se,rmse,coverage,active_frac_mean,h_l2_mean,delta_sd,delta_mad,delta_q95,delta_q99,tau_max,l2_rho,l2_M_train,l2_active_train,l2_ok_rate
1500,3.5,1,L2-grid TS (rho=0.10),-0.0063520425806882115,0.11402683373344905,0.0735983948221457,0.11408971478007979,0.74,0.124308,0.250576140265188,20.425243610634194,0.684068770113789,13.740023425979464,76.99906660304129,0.2,0.1,0.06426882470266104,0.12443133333333334,1
1500,3.5,1,L2-grid TS (rho=0.20),-0.006030271851031971,0.11366530796347087,0.07166575137850484,0.11371159487299068,0.73,0.13088666666666668,0.2580514010215737,20.462750953968587,0.8024847497493377,13.904523265063787,77.79944836096138,0.2,0.2,0.14467658451462084,0.13096733333333332,1
1500,3.5,1,L2-grid TS (rho=0.40),-0.005851530851019581,0.11361791746945799,0.06874968416596215,0.11365497578661836,0.714,0.14124666666666666,0.2694378319662922,20.52871822605332,0.9192892335393282,13.91051261210586,79.10768674786007,0.2,0.4,0.29674859027788786,0.141235,1
5000,3.5,1,AIPW,0.020149525069085968,0.2907414065415229,0.10096295992772161,0.2911486007304472,0.86,NA,NA,0,0,0,0,0.2,NA,NA,NA,NA
5000,3.5,1,Fixed TS-AIPW,0.005827208472784833,0.05977644443985082,0.02912249413441407,0.06000027684799568,0.644,0.2003668,0.33301719725624324,20.101086681278098,1.7257523411308449,13.897460460404009,67.59959584097294,0.2,NA,NA,NA,NA
5000,3.5,1,Shrinking quantile TS,0.01917700956205774,0.18905821497762743,0.09211461756175185,0.18984014414493314,0.86,0.0034928,0.03532053792825302,9.966358640185959,1.515139222629843e-12,2.375549889988551e-12,3.0405756349678877e-12,0.2,NA,NA,NA,NA
5000,3.5,1,L2-grid TS (rho=0.05),0.0059219140641245316,0.0712804695230543,0.052385093594159785,0.07145496897304689,0.822,0.0786864,0.19327284846637302,19.652915607033933,0.6964004768448382,11.442063007818188,66.96183430469506,0.2,0.05,0.023222517791164028,0.078609,1
5000,3.5,1,L2-grid TS (rho=0.10),0.005887943292202204,0.07097367175243685,0.051730129603888717,0.07114671766196103,0.82,0.0812404,0.19669158478317947,19.67336817194794,0.7629043694037031,11.452516931390367,67.0143456766634,0.2,0.1,0.060327834914844655,0.0812017,1
5000,3.5,1,L2-grid TS (rho=0.20),0.005853647592546291,0.07044773001704946,0.05058511342461129,0.07062026684574127,0.818,0.0857604,0.20268634855198178,19.70872100083453,0.8797844395558562,11.730890681688003,67.11142756508738,0.2,0.2,0.14632821858635955,0.0857476,1
5000,3.5,1,L2-grid TS (rho=0.40),0.005739243703149376,0.06981791435375946,0.04866164205543983,0.06998379098522467,0.8,0.0945348,0.21391567165324624,19.765721599005452,1.0850859729689368,12.101685800365871,67.27534101089292,0.2,0.4,0.3328776755948193,0.0945225,1
