n_samp,kappa,d_effect,method,mean_bias,emp_sd,rmse,coverage,q99_abs_phi_mean,max_abs_phi_median,active_frac_mean,h_l2_mean,delta_sd,delta_mad,delta_q95,delta_q99,tau_max,l2_rho,l2_M_train,l2_active_train,l2_ok_rate
500,3.5,2,L2-grid TS (rho=0.10),0.2791803518554699,5.489393636715742,5.491003303830712,0.666,15.034467635402132,92.08158638902009,0.027272,0.1085512827069888,4.317047840437854,0.32743443191309124,0.44963975451660115,1.9210480021237764,0.2,0.1,0.09656198731579248,0.027757,1
500,3.5,2,L2-grid TS (rho=0.20),-0.051495506048167314,0.9251708111394183,0.9256786347690852,0.668,15.031580649531678,84.9618838543372,0.088644,0.20810427166026543,109.2388606848937,1.183147953057409,15.172879993238348,107.61897050483464,0.2,0.2,0.1939520561181976,0.089102,1
500,3.5,2,L2-grid TS (rho=0.40),-0.1903299374194468,0.3119431371728169,0.365156663455086,0.61,14.936842181922135,59.169343775545315,0.157492,0.28833469309756804,120.2544155033494,2.601356922097611,26.40872828950037,131.7825507091954,0.2,0.4,0.32704134394798146,0.15733,1
1500,3.5,2,AIPW,0.025941604611639888,0.7488587930730651,0.7485592026211078,0.686,13.597761336458532,221.23008637219868,NA,NA,0,0,0,0,0.2,NA,NA,NA,NA
1500,3.5,2,Truncated AIPW,-0.38734505299684857,0.0830773487069072,0.3961366333193184,0.03,13.4555021892188,66.06927301751972,NA,NA,28.336829553275507,7.769146251125189,53.977352301879485,164.2508694072588,0.2,NA,NA,NA,NA
1500,3.5,2,Fixed TS-AIPW,-0.25260247223108895,0.086120753558746585,0.26685194322394834,0.272,13.463735537140547,66.45593402881713,0.20000933333333334,0.3321414501764924,28.228480447082166,4.27088103719054,48.75978732592324,158.38854336505742,0.2,NA,NA,NA,NA
1500,3.5,2,Shrinking quantile TS,0.030188937076246508,0.7489314439380722,0.7487909474783473,0.694,13.597761336458532,221.23008637219868,0.007842666666666666,0.054877227437473926,0.028777823678616095,0.16166573893810546,0.21626379481084565,0.24595332205423243,0.2,NA,NA,NA,NA
1500,3.5,2,L2-grid TS (rho=0.05),0.029430987762430427,0.7488422305634802,0.7486717170719154,0.694,13.597761336458532,221.23008637219868,0.006562666666666667,0.05027794977533272,0.023326020315299255,0.13460515300856368,0.1724927602342304,0.1982044365944941,0.2,0.05,0.0451406939062322,0.006779,1
1500,3.5,2,L2-grid TS (rho=0.10),0.02885200458130952,0.7134970813959917,0.7133669232300003,0.7,13.597761336458532,221.23008637219868,0.024529333333333334,0.10201970273787736,5.572414108544412,0.5300345372320159,0.6579537095459752,10.899412240673033,0.2,0.1,0.09729552211848118,0.024805,1
1500,3.5,2,L2-grid TS (rho=0.20),-0.07817456027908255,0.34696255562073564,0.3553217005020862,0.728,13.597761336458532,198.20914811785167,0.07771333333333333,0.193477817432966,21.39300527303562,2.0273234845500827,29.618235047076645,112.43864176074928,0.2,0.2,0.18783218327658247,0.07791966666666666,1
1500,3.5,2,L2-grid TS (rho=0.40),-0.14299947049492542,0.3117583704872022,0.3427064977025195,0.582,13.582990506147857,115.54563102092672,0.11581733333333333,0.24042129541255264,24.215386822411844,3.034294372564435,39.09080991518572,123.00523238278596,0.2,0.4,0.3128928000850136,0.116217,1
5000,3.5,2,AIPW,0.0357583164071197,0.7085444471021985,0.7087381887866585,0.714,13.225041189770629,541.4329316521523,NA,NA,0,0,0,0,0.2,NA,NA,NA,NA
5000,3.5,2,Truncated AIPW,-0.39462754812228645,0.0427558955668625,0.396932377376198,0,13.08282554913549,77.89316081532948,NA,NA,49.90159415345739,18.194159116231337,96.9200189212454,209.0924306105722,0.2,NA,NA,NA,NA
5000,3.5,2,Fixed TS-AIPW,-0.2606754728101922,0.04552558374441465,0.2646131813469171,0.002,13.095210149926332,78.42058562246393,0.2002448,0.33260692845071055,49.89075621328025,8.528653202004085,88.06163393600356,200.2241906389848,0.2,NA,NA,NA,NA
5000,3.5,2,Shrinking quantile TS,0.03756364621283107,0.7085433286375443,0.708830451360874,0.718,13.225041189770629,541.4329316521523,0.0035072,0.03537356603654281,0.017907137071834008,0.12702096074409364,0.15790399424372983,0.16828577019928187,0.2,NA,NA,NA,NA
